연번,기업명(자발적 협약 기업),제품명,품목,자가검사번호(신고번호)
1101,아성다이소,카렉스다목적세정제250ML,스프레이형,G-A01B-H013001-A170
1102,아성다이소,카렉스휠크리너250ML,스프레이형,G-A01B-H013001-A170
1103,아성다이소,카렉스레자왁스250ML,스프레이형,G-A05B-H003001-A170
1104,아성다이소,카렉스버그크리너250ML,스프레이형,G-A01B-H013001-A170
1105,아성다이소,카렉스타이어광택제250ML,스프레이형,G-A05B-H003001-A170
1106,아성다이소,카렉스고광택왁스250ML,스프레이형,G-A05B-H003001-A170
1107,아성다이소,카렉스유리세정제250ML,스프레이형,G-A01B-H013001-A170
1108,아성다이소,자동분사기향(자스민허브),스프레이형,C-A09B-H307007-A150
1109,아성다이소,자동분사기향(로맨틱가든),스프레이형,C-A09B-H307007-A150
1110,아성다이소,자동분사기향(코튼&파우더),스프레이형,C-A09B-H307007-A150
1111,아성다이소,자동분사기향(달콤한커피),스프레이형,C-A09B-H307007-A150
1112,아성다이소,터치아로마세트(라벤더) / 리필2P(라벤더),스프레이형,C-A09B-H307007-A150
1113,아성다이소,터치아로마세트(레몬) / 리필2P(레몬),스프레이형,C-A09B-H307007-A150
1114,아성다이소,자동분사기향(자몽),스프레이형,C-A09B-H307007-A150
1115,아성다이소,자동분사기향(청포도),스프레이형,C-A09B-H307007-A150
1116,아성다이소,옷장용에어후레쉬(레몬향),액체형,C-A10B-H027003-A150
1117,아성다이소,옷장용에어후레쉬(숲속향),액체형,C-A10B-H027003-A150
1118,아성다이소,옷장용에어후레쉬(피치향),액체형,C-A10B-H027003-A150
1119,아성다이소,옷장용에어후레쉬(라벤더),액체형,C-A10B-H027003-A150
1120,아성다이소,냄새없는방청윤활제,스프레이형,C-A06B-H001001-A160
1121,아성다이소,숯냉장고탈취제150G,에멀션형(젤형),C-A10B-H027002-A150
1122,아성다이소,녹차냉장고탈취제150G,에멀션형(젤형),C-A10B-H027002-A150
1123,아성다이소,슬림숯탈취제(옷장용),에멀션형(젤형),C-A10B-H027002-A150
1124,아성다이소,돔형형방향제(레몬),에멀션형(젤형),C-A09B-H307003-A150
1125,아성다이소,돔형형방향제(피치) / 리필형방향제(피치),에멀션형(젤형),C-A09B-H307003-A150
1126,아성다이소,돔형형방향제(라벤더) / 리필형방향제(라벤더),에멀션형(젤형),C-A09B-H307003-A150
1127,아성다이소,씽크대탈취제150G(레몬),에멀션형(젤형),C-A10B-H027002-A150
1128,아성다이소,씽크대탈취제150G(피치),에멀션형(젤형),C-A10B-H027002-A150
1129,아성다이소,수납장탈취제150G(라벤더),에멀션형(젤형),C-A10B-H027002-A150
1130,아성다이소,수납장탈취제150G(피톤치드),에멀션형(젤형),C-A10B-H027002-A150
1131,아성다이소,공기청향제300ML(라벤더),스프레이형,C-A09B-H307007-A150
1132,아성다이소,공기청향제300ML(아카시아),스프레이형,C-A09B-H307007-A150
1133,아성다이소,공기청향제300ML(모과),스프레이형,C-A09B-H307007-A150
1134,아성다이소,곰팡이방지코팅제 400ML,스프레이형,D-A05B-H017001-A160
1135,아성다이소,해피탈취분사기향(딸기),스프레이형,C-A09B-H307007-A150
1136,아성다이소,해피탈취분사기향(자스민),스프레이형,C-A09B-H307007-A150
1137,아성다이소,해피탈취분사기향(레몬),스프레이형,C-A09B-H307007-A150
1138,아성다이소,해피탈취분사기향(헤이즐럿),스프레이형,C-A09B-H307007-A150
1139,아성다이소,해피탈취분사기향(복숭아),스프레이형,C-A09B-H307007-A150
1140,아성다이소,에코그린유리세정제600ML,스프레이형,D-A01B-H012004-A150
1141,아성다이소,기름때제거용세정제300ML,스프레이형,D-A01B-H012002-A150
1142,아성다이소,맘사랑섬유유연제2500ml다우니,액체형,D-A04B-H002001_A150
1143,아성다이소,에코그린곰팡이제거제650ML,스프레이형,D-A01B-H012001-A150
1144,아성다이소,다림질풀,스프레이형,D-A13B-H001001-A170
1145,아성다이소,가죽로션,액체형,D-A05B-H011004-A160
1146,아성다이소,카라소매부분세척제300ML,스프레이형,D-A01B-H012005-A150
1147,아성다이소,라벤더화장실용세정제250ML,스프레이형,D-A01B-H012007-A150
1148,아성다이소,고점도배수관세척제1.5L,액체형,D-A01A-H012012-A170
1149,아성다이소,발수에탄올워셔2.0L,액체형,D-A15B-H00040001-A170
1150,아성다이소,에탄올워셔1.8L,액체형,D-A15B-H00040002-A180
1151,아성다이소,디퓨저용액(리필)150ML(로즈),액체형,E-A09B-R028002-A150
1152,아성다이소,디퓨저용액(리필)150ML(시트러스),액체형,E-A09B-R028002-A150
1153,홈플러스,홈플러스좋은상품_주방세제리필,액체형,-
1154,홈플러스,홈플러스좋은상품_락스세제_750ML,액체형,C-A01A-H011001-A150
1155,홈플러스,홈플러스좋은상품_후로랄락스,액체형,C-A01A-H011004-A150
1156,홈플러스,홈플러스좋은상품_곰팡이제거제_500ML,분무형,C-A01B-H011002-A150
1157,홈플러스,홈플러스좋은상품_배수관세정제_2L,액체형,C-A01A-H011003-A150
1158,홈플러스,홈플러스_욕실세정제_650ML,분무형,C-A01B-H005001-A150
1159,홈플러스,홈플러스좋은상품_다목적세정제_650ML,분무형,D-A01B-H004004-A150
1160,홈플러스,홈플러스좋은상품_세탁조세정제_500ML,액체형,D-A01B-H004007-A150
1161,홈플러스,홈플러스좋은상품_가구보호광택제스프레이_650ML,에어로졸형,D-A05B-H001002-A150
1162,홈플러스,홈플러스좋은상품_가죽보호광택제_650ml,에어로졸형,D-A05B-H001003-A150
1163,홈플러스,홈플러스좋은상품_배수구청_40G*4,고체형, F-A01B-C002006-A150
1164,홈플러스,홈플러스좋은상품_씽크청_15G*4,고체형,F-A01B-C002003-A150
1165,홈플러스,홈플러스좋은상품_변기세정제_40G*4,고체형,F-A01B-C002004-A150
1166,홈플러스,홈플러스좋은상품_드라이세제_500G,액체형,F-A02B-C001001-A150
1167,홈플러스,홈플러스좋은상품_유리세정제(리필포함),분무형,F-A01B-C002008-A150
1168,홈플러스,홈플러스좋은상품_아로마플러스겔(화이트피치)_210G,고체형,F-A09B-A049002-A150
1169,홈플러스,홈플러스좋은상품_아로마플러스다용도탈취제(라벤더),고체형,F-A09B-A049002-A150
1170,홈플러스,홈플러스좋은상품_아로마플러스다용도탈취제(피치)_170G,고체형,F-A10B-A014002-A150
1171,홈플러스,홈플러스좋은상품_강력참숯탈취탄냉장고용_250G,고체형,F-A10B-A014002-A150
1172,홈플러스,홈플러스좋은상품_아로마플러스리퀴드화장실용(시트러스오렌지)_400ML,액체형,F-A10B-A014001-A150
1173,홈플러스,홈플러스좋은상품_아로마플러스리퀴드실내용(라벤더)_400ML,액체형,F-A09B-A049001-A150
1174,홈플러스,홈플러스좋은상품_아로마플러스리퀴드화장실용(후로랄부케)_400ML,액체형,F-A09B-A049001-A150
1175,홈플러스,홈플러스좋은상품_아로마플러스리퀴드실내용(피치)_400ML,액체형,F-A09B-A049001-A150
1176,홈플러스,홈플러스좋은상품_식기세척기세제리필_800G,고체형,-
1177,홈플러스,홈플러스좋은상품_수유패드_120매,고체형,-
1178,홈플러스,홈플러스좋은상품_양초,고체형,C-A17B-R00160001-A180 
1179,홈플러스,홈플러스좋은상품_밀초,고체형,C-A17B-R00160001-A180 
1180,(주)불스원,퍼스트클래스 플라스틱 광택복원제,에멀션형,"G-A05B-J00010009-A170	"
1181,(주)불스원,퍼스트클래스 천연가죽 케어잼 크리너,액체형,"D-A01B-J002018-A150	"
1182,(주)불스원,퍼스트클래스 천연가죽 케어잼 로션,에멀션형,"D-A05B-J001018-A150	"
1183,(주)불스원,퍼스트클래스 타이어 광택보호제,스프레이형(분무),"D-A05B-J001021-A150	"
1184,(주) 유한양행,암앤해머 에프앤에프(프리지-앤-프리저),분말형,C-A10B-S001003-A15
1185,(주)불스원,퍼스트클래스 타이어 광택제(수성),스프레이형(분무),"D-A05B-J001013-A150	"
1186,(주)불스원,크리스탈 타이어코트,스프레이형(분무),"D-A05B-A001010-A150	"
1187,(주)불스원,김서림방지 스프레이,스프레이형(분무),"D-A07B-J001002-A150	"
1188,(주) 유한양행,암앤해머 후릿지 후레쉬,분말형,C-A10B-S001003-A15
1189,(주)불스원,김서림방지 폼,스프레이형(분무),"D-A07B-J001001-A150	"
1190,(주)불스원,김서림방지티슈,티슈형,"D-A07B-J001003-A150	"
1191,(주)불스원,불스원 부동액,액체형,"D-A19A-J00010001-A180	"
1192,(주)불스원,방청윤활제,스프레이형(분무),"D-A06B-J003001-A150	"
1193,(주)불스원,나노테크왁스(검은색),에멀션형,"D-A05B-J001024-A150	"
1194,(주)불스원,물왁스,스프레이형(분무),"D-A05B-J001023-A150	"
1195,(주)불스원,퍼스트클래스 3스텝 컴파운드 미니 키트 스텝1,에멀션형,"G-A05B-J00010012-A170	"
1196,(주)불스원,레자왁스,스프레이형(분무),"D-A05B-J001007-A150	"
1197,(주)불스원,레자왁스티슈,티슈형,"D-A05B-A001003-A150	"
1198,(주)불스원,RainOK발수코팅 장기지속 이지그립,액체형,"D-A05B-J001015-A150	"
